n,density,prim_time_ms,kruskal_time_ms,prim_ops,kruskal_ops
20,0.3,0.04507599999215017,0.04577300001074036,140,95
20,0.6,0.06691999999475229,0.0716010000019196,179,152
40,0.1,0.05630600003314612,0.0723079999715992,201,156
40,0.3,0.11024499997347448,0.14866800000845615,357,312
40,0.6,0.2480690000083996,0.2606959999980063,572,546
80,0.1,0.23367100004634267,0.23637900000039735,778,474
80,0.3,0.4568269999936092,0.5509909999545926,1396,1106
80,0.6,0.8080129999825658,1.0799209999845516,2135,2054
160,0.1,0.7238470000174857,0.7807850000176586,2169,1590
160,0.3,1.65169799998921,2.1064569999680316,4625,4134
160,0.6,3.2242660000179058,4.102553999985048,8405,7950
